,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:25:04.386920471Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:40:04.89864387Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:48:39.560507494Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-15T16:31:21.630839241Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,35,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-15T16:32:21.668569665Z,Zadna,domain,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,36,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T18:32:02.612516373Z,TCP/53,service,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,36,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:25:04.386920471Z,UDP/9993,service,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,36,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:40:04.89864387Z,UDP/9993,service,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,36,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:48:39.560507494Z,TCP/443,service,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,36,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-15T16:31:21.630839241Z,TCP/53,service,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,36,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-15T16:32:21.668569665Z,TCP/53,service,anomaly_port_scan,Subnet (21 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,37,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:33:04.674813319Z,50,connections,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,37,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:56:05.450598781Z,49,connections,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,37,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:10:38.053604382Z,46,connections,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,37,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:25:38.672118187Z,43,connections,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,38,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:33:04.674813319Z,Zadna,domain,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,38,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:56:05.450598781Z,Zadna,domain,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,38,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:10:38.053604382Z,Zadna,domain,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,38,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:25:38.672118187Z,Zadna,domain,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,39,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:33:04.674813319Z,TCP/7680,service,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,39,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T19:56:05.450598781Z,UDP/9993,service,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,39,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:10:38.053604382Z,TCP/443,service,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home
,,39,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T20:25:38.672118187Z,TCP/53,service,anomaly_port_scan,Subnet (22 IP),PWRHOUSE,192.168.69.5,Network Sweep (Horizontalni),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,40,1970-01-01T00:00:00Z,2026-04-16T23:37:33.98508448Z,2026-04-12T16:51:35.884680275Z,62283,connections,anomaly_port_scan,Subnet (23 IP),PCS Computer Systems GmbH,192.168.69.208,Plosny Port Scan (Subnet),08:00:27:b6:5c:c2,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
