#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,6,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:01:30.337741688Z,TCP/7680,service,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,6,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:50:32.434967144Z,TCP/53,service,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,7,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T16:18:33.141975841Z,44.82,total_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,7,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T16:31:33.640256127Z,80.25,total_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T16:18:33.141975841Z,1.59,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-09T16:31:33.640256127Z,0.59,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:41:19.16220484Z,1.02,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:45:19.317616567Z,12.8,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:48:19.45215209Z,19.61,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T17:59:19.980869938Z,7.05,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:02:20.128821853Z,28.82,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T18:08:20.588246607Z,11.15,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T19:02:23.212111108Z,0.81,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:01:30.337741688Z,0.48,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home
,,8,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T22:50:32.434967144Z,0.65,up_mb,anomaly_ml,1.0.0.1,PWRHOUSE,192.168.69.5,Nespecificka anomalie (ML Detekce),10:7c:61:06:b1:fc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,9,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-13T15:08:10.808443621Z,307,connections,anomaly_ml,1.1.1.1,Malina,192.168.69.6,Nespecificka anomalie (ML Detekce),2c:cf:67:c4:32:dc,home
,,9,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T16:09:28.0901459Z,216,connections,anomaly_ml,1.1.1.1,Malina,192.168.69.6,Nespecificka anomalie (ML Detekce),2c:cf:67:c4:32:dc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,10,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-13T15:08:10.808443621Z,Zadna,domain,anomaly_ml,1.1.1.1,Malina,192.168.69.6,Nespecificka anomalie (ML Detekce),2c:cf:67:c4:32:dc,home
,,10,1970-01-01T00:00:00Z,2026-04-16T23:37:46.832927267Z,2026-04-14T16:09:28.0901459Z,Zadna,domain,anomaly_ml,1.1.1.1,Malina,192.168.69.6,Nespecificka anomalie (ML Detekce),2c:cf:67:c4:32:dc,home

#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
