#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,string,string,string,string,string,string
#default,_result,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,mac,mode,old_mac
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:17.753736298Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:17.754359855Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:38.808630143Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:38.83282004Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:40.823559065Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:40.844805996Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:45.865199615Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:43:45.866149765Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:21.838768094Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:21.841056615Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:29.871812168Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:29.891799522Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:37.813357314Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:37.8994152Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:45.841784519Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:45.849694046Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:50.858487035Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:44:50.865576931Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:45:02.896702398Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:45:02.897923066Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:45:18.839999167Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:45:18.840686112Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
,,3,1970-01-01T00:00:00Z,2026-04-16T23:37:26.158862246Z,2026-04-01T10:46:26.903667115Z,5,severity,anomaly_arp_spoof,10:7c:61:06:b1:fc,home,08:00:27:b6:5c:c2
