#group,false,false,true,true,false,false,true,true,true,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,long,string,string,string,string,string,string,string,string
#default,_result,,,,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,dest_ip,device,ip,label,mac,mode
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-06T17:07:35.910354238Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-08T16:47:30.9551334Z,3,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T16:07:44.367943602Z,3,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T17:43:47.906371543Z,3,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T17:46:48.009408328Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T18:00:48.483009418Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T19:25:51.419531766Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T20:11:53.046958235Z,8,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-11T23:54:00.927275923Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-12T00:34:02.246107166Z,11,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-12T14:38:31.241265723Z,6,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
,,4,1970-01-01T00:00:00Z,2026-04-16T23:37:43.316518209Z,2026-04-12T14:49:31.641000019Z,5,connections,anomaly_banned_domain,DNS/Web,PWRHOUSE,192.168.69.5,Zakazana domena,10:7c:61:06:b1:fc,home
